,House,Type_transaction,Huurprijs,Transactieprijs,Transactieprijs per m²,Aanvaarding,days_on_market,NVM makelaar,Adres,Plaats,Telefoon,E-mail,Oppervlakten_en_inhoud_Woonoppervlakte,Oppervlakten_en_inhoud_Externe bergruimte,Oppervlakten_en_inhoud_Inhoud,Indeling_Aantal kamers,Indeling_Aantal badkamers,Indeling_Badkamervoorz.,Indeling_Aantal woonlagen,Indeling_Voorzieningen,Energie_Verwarming,Energie_Warm water,Energie_C.V. ketel,Onderhoud_Binnen,Onderhoud_Buiten,Bouw_Type,Bouw_Soort,Bouw_Bouwvorm,Bouw_Bouwjaar,Buitenruimte_Ligging,Buitenruimte_Tuin,Bergruimte_Schuur/berging,Garage_Soort garage,Text_house,Servicekosten,VBO makelaar,Bouw_Bouwperiode,Parkeergelegenheid_Soort parkeergelegenheid,VGM makelaar,TAO makelaar,Energie_Energielabel,Energie_Isolatie,Buitenruimte_Totale oppervlakte,Bergruimte_Voorzieningen,prijsverloop_date,LMV makelaar,Oppervlakten_en_inhoud_Gebouwgebonden buitenruimte,Buitenruimte_Achtertuin,Buitenruimte_Achterom,Buitenruimte_Kwaliteit,VvE_checklist_VvE,VvE_checklist_VvE bijdrage,Buitenruimte_Balkon/dakterras,Buitenruimte_Plaats,Oppervlakten_en_inhoud_Overige inpandige ruimte,Garage_Capaciteit,Garage_Voorzieningen,Buitenruimte_Geen tuin,Bergruimte_Isolatie,Parkeergelegenheid_Parkeercapaciteit,Buitenruimte_Voortuin,Garage_Isolatie,Buitenruimte_Zijtuin,Buitenruimte_Patio/atrium
11,"Prins Hendrikstraat 5 K2, 2411 CR Bodegraven",In verhuur genomen,"€ 350,- p.m.","€ 350,-","€ 29,17",Direct,44,-,Prins Hendrikstraat 91,2405 AH  Alphen Aan Den Rijn,0172-245902,info@benlvastgoed.nl,12 m²,-,40 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Bovenwoning,bestaande bouw,2010,-,Geen tuin,-,Geen garage,"PER DIRCET BESCHIKBAAR leuke KAMER met gedeelde keuken en badkamer in centrum Bodegraven 
Bijzonderheden:
- Geschikt voor 1-persoonshuishouden!
- Huisdieren niet toegestaan!
- Huurprijs € 350,= p/mnd
- (voorschot) gas/water/elektra/TV/Internet € 75,= p/mnd
- Waarborgsom € 900,= bij aanvang huur te voldoen
- Huurperiode: 12 maanden daarna onbepaalde tijd
- Ingang huur: per DIRECT beschikbaar.","€ 75,-",B&L Vastgoed,2001-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,"Ceramstraat 20 a (k5), 9715 JP Groningen",In verhuur genomen,"€ 360,- p.m.","€ 360,-","€ 30,-",In overleg,37,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,12 m²,-,36 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1936,-,Geen tuin,-,Geen garage,"PER DIRECT BESCHIKBAAR: LEUKE STUDENTENKAMER MET EIGEN WASTAFEL!
Aan de Ceramstraat is per direct deze leuke studentenkamer beschikbaar. De kamer is 12m2 groot, beschikt over een eigen wastafel en is gelegen op de 3e verdieping aan de achterzijde van de woning. De keuken, de badkamer met zowel douche als ligbad en het toilet worden gedeeld met vijf medebewoners. Tevens is er een gedeeld balkon van ongeveer 6m2 aanwezig.
De woning is gelegen in de Korrewegwijk op ongeveer 5 minuten fietsen van het centrum. Het Zernike complex is op ongeveer 10 minuten fietsafstand. 
De huurprijs bedraagt €360,- inclusief per maand. Dit is inclusief gas, water, elektra en gemeentelijke belastingen. Tv & internet regelen de bewoners onderling. De onkosten hiervoor zullen ongeveer €10,- per persoon per maand bedragen.
Geïnteresseerd in deze kamer? Reageer dan via de website of bel met 050 - 364 62 19.","€ 110,-",050 Vastgoed,1931-1944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,"Zuiderpark 9 (k17), 9724 AE Groningen",In verhuur genomen,"€ 370,- p.m.","€ 370,-","€ 30,83",In overleg,70,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,12 m²,-,36 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1880,-,Geen tuin,-,Geen garage,"PER 1 MAART BESCHIKBAAR: KNUSSE KAMER MET EIGEN KEUKEN
In dit prachtige monumentale pand aan het Zuiderpark komt per 1 maart deze knusse studentenkamer beschikbaar. De kamer is circa 12m2 groot en beschikt over een eigen keukenblok. In deze woning wonen meerdere studenten, de badkamer deel je met vijf medebewoners. 
De woning is gelegen in de gezellige Oosterpoortbuurt. Voorzieningen als supermarkten en openbaar vervoer zijn op loopafstand. Tevens sta je binnen enkele minuten fietsen midden op de Grote Markt!
De huurprijs bedraagt €305,- exclusief per maand. De kamer wordt verhuurd inclusief een voorschot aan gas, water, licht, tv & internet en belastingen. De servicekosten hiervoor bedragen €65,- per maand. De totale huurprijs bedraagt dus €370,- per maand inclusief bovengenoemde voorzieningen. 
Wil je de kamer bezichtigen? Reageer dan via de website of bel ons op 050 - 364 62 19.","€ 65,-",050 Vastgoed,-1906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,"de Ruyterstraat 39, 6512 GA Nijmegen",In verhuur genomen,"€ 370,- p.m.","€ 370,-","€ 16,09",Per datum 01-05-2021,28,-,Sonsbeekweg 12,6814 BA  Arnhem,0643000131,m.vanlaar@uvm.nl,23 m²,-,68 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,1906,In centrum en in woonwijk,Geen tuin,Vrijstaand steen,Geen garage,"Mooie kamer (ca.22,7 m2) met eigen keuken, gelegen op de bovenste verdieping aan de achterzijde van een gezellig pand nabij het centrum van Nijmegen. De kamer is voorzien van authentieke details. De badkamer en toilet deel je met je medebewoners.
Bijzonderheden: 
Woonoppervlakte 22,7 m2 | Eigen keuken |Tuin| huurprijs € 370,00 kale huur p/m| voorschot gas, water, elektra en servicekosten € 80,00 p/m | minimale huurperiode 12 maanden | 1 maand borgsom | Alleen geschikt voor studenten | Maximaal 1 persoon | inkomenseis 3x de kale huur","€ 85,-",-,1906-1930,Betaald parkeren en parkeervergunningen,-,UVM,C (einddatum: 16-04-2028),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,"Acacialaan 22 (k2), 9741 KX Groningen",In verhuur genomen,"€ 370,- p.m.","€ 370,-","€ 23,12",Direct,12,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,16 m²,-,48 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1971,-,Achtertuin,Inpandig,Geen garage,"PER 1 APRIL BESCHIKBAAR: LEUKE KAMER VLAKBIJ HET ZERNIKE!
Aan de Acacialaan komt per 1 april deze leuke kamer beschikbaar. De kamer is ca 16m2 groot en is gelegen op de begane grond aan de achterzijde van de woning. De kamer beschikt over een eigen wastafel en heeft uitzicht op de grote gedeelde tuin van 66m2 groot!
De keuken deel je met één medebewoner en de douche, het toilet en de tuin deel je met twee medebewoners. 
De woning is gelegen in de wijk Selwerd, vlakbij het Zernike complex. Binnen 5 minuten ben je al op het Zernike en met ongeveer 7 minuten ben je in het centrum.
De huurprijs bedraagt €370,- inclusief per maand. Tv & internet worden geregeld door de bewoners zelf, de kosten hiervoor bedragen ongeveer €15,- per persoon per maand. 
Wil je deze kamer een keer komen bekijken? Reageer dan via de website of bel met 050 - 364 62 19.","€ 60,-",050 Vastgoed,1971-1980,-,-,-,-,-,66 m²,Voorzien van elektra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,"Wirdumerdijk 37 3, 8911 CC Leeuwarden",In verhuur genomen,"€ 375,- p.m.","€ 375,-","€ 25,-",Direct,98,-,Noordvliet 143,8921 GE  Leeuwarden,0582038134,info@suzmakelaars.nl,15 m²,-,38 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1605,In centrum,Geen tuin,-,Geen garage,"Ben jij op zoek naar een kamer in een gezellig studentenhuis midden in het centrum van Leeuwarden? Mail dan ons kantoor met een korte omschrijving van jezelf en vergeet niet je telefoonnummer te vermelden, zodat we snel met elkaar een bezichtiging kunnen in plannen!
De kamer bevindt zich in een gezellig STUDENTENHUIS met meerdere woonruimtes én ligt letterlijk op loopafstand van alle kroegen/restaurants/winkels van Leeuwarden.  Deze kamer op de eerste etage van het pand deelt de gemeenschappelijke keuken en sanitaire voorzieningen (twee toiletten en een douche) met 4 huisgenoten.
Verder is de kamer voorzien van een hoog plafond. Het hoge plafond geeft mogelijkheden voor bijvoorbeeld het plaatsen van een hoogslaper en dat geeft veel ruimte! 
Zoek jij samen met een vriend/vriendin een woonruimte in hetzelfde studentenhuis? Dan heb je geluk! Wij bieden namelijk in dit pand nóg een fijne studentenkamer aan :) vraag naar de mogelijkheden! 
Bijzonderheden:
– Kamer in het centrum van Leeuwarden
– Keuken en sanitair gedeeld met 4 medebewoners
– Verwarmd d.m.v. centrale verwarming
– Geschikt voor studenten en werkende studenten
– Aanvaardbaar per direct
– Huurprijs: €375,00  inclusief gas/water/licht en internet
– Borg: €375,-",-,-,-1906,-,-,-,-,-,-,-,16-02-2021,SUZ Makelaars,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,"Damsterdiep 242 (k1), 9713 EP Groningen",In verhuur genomen,"€ 380,- p.m.","€ 380,-","€ 21,11",Per datum 01-04-2021,4,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,18 m²,-,48 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1904,-,Voortuin,-,Geen garage,"PER 1 APRIL BESCHIKBAAR: Leuke knusse kamer in gezellig studentenhuis!
Per 1 april is deze prachtige en semi zelfstandige kamer beschikbaar. De kamer met mooie houten wanden heeft in de woon/slaapkamer beschikking over een open keuken en een aparte wastafel. Daarnaast is er een gedeelde douche en toilet die met 4 anderen gedeeld wordt. 
De locatie van de kamer is nabij het stadscentrum gelegen. Tevens zijn de dagelijkse voorzieningen op fietsafstand aanwezig.
De huurprijs bedraagt €380,- incl. per maand. Borgsom bedraagt éénmaal de maandhuur. 
Interesse in deze mooie studentenkamer? Reageer dan via de website of bel naar 050 - 364 62 19.","€ 50,-",050 Vastgoed,-1906,-,-,-,-,-,12 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,"Rijnstraat 63 A8, 3441 BR Woerden",In verhuur genomen,"€ 380,- p.m.","€ 380,-","€ 29,23",In overleg,17,-,Hogewoerd 32 A,3441 BE  Woerden,0348-416886,info@gmwoerden.nl,13 m²,-,35 m³,1 kamer,-,-,1 woonlaag,Mechanische ventilatie,-,-,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,2010,In centrum,Zonneterras,-,Geen garage,"In het centrum van Woerden een eenpersoons woonunits te huur van 13m²  Deze kamer is gelegen op de 2e verdieping en is voorzien van een kleine pantry, afgewerkte wanden en vloerbedekking. Op de 1ste verdieping is er een algemene keuken, toiletruimte, wasmachine en droger en twee doucheruimten. op de 2de verdieping is een toiletruimte. Alle units zijn voorzien van tv, radio en internet aansluitingen. 
Service kosten voor gas, elektra, water en internet is € 75,00 per maand. 
Bijzonderheden
Betegelde vloeren in de algemene ruimten. 
Brandmelders en er is een vluchtweg. 
De units worden aangeboden incl. 
verbruik van gas, elektra en water 
wekelijks schoonmaken van de algemene ruimten
riool- en huisvuilrecht 
er is een huishoudelijk reglement 
roken en het houden van huisdieren is niet toegestaan.
Om u te kunnen voorstellen aan de verhuurder zijn er de navolgende documenten nodig:
Indien u werkzaam bent: 
Een kopie van een geldig identiteitsbewijs
Een kopie van drie recente loonstroken
Bankafschriften waarop te zien is dat uw salaris wordt gestort
Een kopie van uw meest recente jaaropgave
Een kopie van uw arbeidsovereenkomst
Een werkgeversverklaring (niet ouder dan een maand)
Een uittreksel uit het BRP
Voor- en achterzijde bankpas, waar salaris op wordt gestort 
Indien u zelfstandige ondernemer bent:
Een kopie geldig identiteitsbewijs
Een kopie inschrijving kamer van koophandel
Een kopie van uw winst verlies rekening
Een uittreksel uit het BRP
Voor- en achterzijde bankpas, waar salaris op wordt gestort 
Van alle personen die gaan huren ontvangen wij graag het huidige adres, email adres en het telefoonnummer. 
Let op: Graag uw documenten in een PDF bestand toesturen. Wij kunnen uw aanvraag pas afhandelen indien wij in het bezit zijn van alle vermelde gegevens!
U kunt uw gegevens per e-mail opsturen. Ons e-mail adres is: info@gmwoerden.nl.
Alle hierboven vermelde gegevens worden in gebracht in het programma van HUURCHECK Nederland.
Zodra de gegevens door Huurcheck zijn beoordeeld en goedgevonden, gaan we over tot het opstellen van een huurcontract.
Het huurcontact is voor vier en twintig maanden en wordt, indien de verhuurder dit contact niet opzegt, automatische verlengt voor onbepaalde tijd. Tenzij anders overeengekomen. 
LIGGING:
Het appartement is gelegen in het centrum en ligt centraal in het ""Groene Hart"" tussen de grote steden Utrecht, Amsterdam, Rotterdam en Den Haag en goed bereikbaar van de Rijkswegen A12 en A2 en in enkele minuten fiets u naar het het station.  
WOERDEN:
De gemeente Woerden bestaat uit 52.000 inwoners met een uitgebreid voorzieningenpakket van  onder meer diverse basisscholen, voortgezet onderwijs van lagere technisch onderwijs tot aan Gymnasium, winkels in het centrum maar ook in het winkelcentrum in de directe omgeving. 
Mocht u na lezen interesse hebben voor een bezichtiging neem dan contact op met ons kantoor.","€ 75,-",Groenendael Makelaardij B.V.,2001-2010,-,-,-,-,"Muurisolatie, vloerisolatie en driedubbel glas",3 m²,-,08-04-2021,-,3 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,"Helper Oostsingel 8 C(K3), 9722 AT Groningen",In verhuur genomen,"€ 380,- p.m.","€ 380,-","€ 25,33",Per datum 01-05-2021,7,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,15 m²,-,45 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1934,-,Geen tuin,-,Geen garage,"PER 1 MEI BESCHIKBAAR: MOOIE KAMER IN HELPMAN MET EIGEN KEUKEN
Per direct is deze mooie kamer beschikbaar aan de Helper Oostsingel 8C. De kamer is ruim 15m2 en beschikt over een eigen keuken en wastafel. 
De woning beschikt over totaal 3 kamers die ieder een eigen keuken hebben. De badkamer en het toilet worden gedeeld met twee medebewoners. 
De woning is gelegen in Helpman, op loopafstand van het winkelcentrum van Helpman. Tevens is er een bushalte op loopafstand. De grote markt is op 10 minuten fietsafstand. 
De huurprijs bedraagt €380,- per maand inclusief servicekosten, gas, water en elektra. De borg bedraagt eenmaal de maandhuur.
Geïnteresseerd in deze kamer? Reageer dan via de website met introductie of bel met 050 - 364 62 19.","€ 100,-",050 Vastgoed,1931-1944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,"C. van Maasdijkstraat 36 -3, 3555 VP Utrecht",In verhuur genomen,"€ 395,- p.m.","€ 495,-","€ 35,36",In overleg,26,-,Amsterdamsestraatweg 562,3553 EP  Utrecht,030-2230231,info@domvast.nl,14 m²,-,35 m³,1 kamer,-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Bovenwoning,bestaande bouw,2006,In woonwijk,Geen tuin,-,Geen garage,"In de levendige wijk Zuilen bevindt zich dit goed onderhouden studio-appartement. De lichte studio (14m2) bevindt zich op de 1e verdieping aan de voorzijde. Samen met 1 medebewoner deel je keuken en de luxe badkamer. De studio is gelegen op 15 fietsminuten afstand van het centrum van Utrecht en op 5 fietsminuten afstand van het station Zuilen. In de directe omgeving bevinden zich 2 winkelcentra en het mooie ""Julianapark"" bevindt zich op loopafstand. De studio is goed onderhouden en voorzien van een laminaat vloer. 
Lichte studio (14m2) aan de voorzijde  van de woning gelegen.
De kamer is voorzien van een eigen wastafel en een inbouwkast. Gezamenlijke keuken voorzien van een 4 pits gasstel, afzuigkap en inbouwkoelkast. In de keuken staan de wasmachine en droger opgesteld, deze worden gedeeld met slechts één andere bewoner. 
Gezamenlijke luxe badkamer voorzien van douchecabine, wastafel en toilet. 
Bijzonderheden:
- kale huur € 395,- 
- beschikbaar per direct
- gestoffeerd
- geschikt voor 1 persoon
- € 100,- per maand voor gas, water, elektra, servicekosten en stoffering/apparatuur
- jaarcontract met daarna onbepaalde tijd
- keuken, badkamer en toilet worden slechts gedeeld met slechts één andere studio;
- gezamenlijk gebruik (met één andere studio) van wasmachine, -droger en koel-, vriescombinatie.
- waarborgsom 1 maand huur
U dient over een netto maandinkomen van 3,5 x de maandhuur (inclusief eventuele voorschotten/servicekosten) te beschikken. Is dat niet het geval dan is het mogelijk te huren met een garantsteller. In dat geval zal de garantsteller aan deze inkomenseis moeten voldoen. 
Om een bezichtiging in te plannen dient u zich vooraf in te schrijven via onze website. 
Na uw inschrijving kunt u een mail sturen naar met uw naam, telefoonnummer en het object dat u wilt bezichtigen. Telefonisch een afspraak inplannen is niet mogelijk.","€ 100,-",Domvast B.V.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,"Diephuisstraat 21 B (K2), 9714 GT Groningen",In verhuur genomen,"€ 395,- p.m.","€ 395,-","€ 24,69",Direct,16,-,Sontweg 15 a,9723 AT  Groningen,050-3646219,klantenservice@050vastgoed.nl,16 m²,-,45 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Studentenkamer,bestaande bouw,1933,-,Geen tuin,-,Geen garage,"PER DIRECT BESCHIKBAAR!
Per direct is deze leuke studentenkamer beschikbaar in de populaire Korrewegwijk. De kamer is gelegen aan de voorzijde van het pand, circa 15.5 m2 groot en voorzien van een eigen wastafel. Door de ligging van de kamer heb je vrij uitzicht over de binnenplaats bij de Diephuisstraat. 
De badkamer, het toilet, de keuken en het balkon deel je met twee medebewoners. 
De woning ligt in de Korrewegwijk. Om de hoek is het Floresplein, met daarbij de supermarkt Albert Heijn en een grote vijver waar in de zomer lekker gezeten kan worden. De binnenstad is op vijf minuten fietsafstand en het openbaar vervoer ligt op steenworp afstand.
De huurprijs bedraagt €395,- inclusief voorschot levering en diensten en het gebruik van televisie en internet. 
Zie jij jezelf hier wonen? Reageer dan snel via onze website!","€ 100,-",050 Vastgoed,1931-1944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"Ringbaan-West 260 B, 5038 NX Tilburg",In verhuur genomen,"€ 395,- p.m.","€ 395,-","€ 26,33",Direct,18,-,Hoofdstraat 25,5171 DJ  Kaatsheuvel,(+31) 85 003 02 22,info@berkhoutbiemansboer.nl,15 m²,4 m²,45 m³,1 kamer (1 slaapkamer),1,"Inloopdouche, Toilet, Wastafel",1 woonlaag,Mechanische ventilatie en tv kabel,C.V.-Ketel,C.V.-Ketel,"Remeha (Gas gestookt combiketel uit 2018, eigendom)",uitstekend,uitstekend,Appartement,Studentenkamer,bestaande bouw,1929,-,Achtertuin,-,Geen garage,"Op deze top locatie precies tussen de universiteit en het centrum en openbaar vervoer, ligt deze luxe studio. De studio beschikt over een eigen badkamer en luxe gedeelde keuken, welke is voorzien van koelkast, vriezer, inductie kookplaat en wasmachine. 
De studio is aan de voorzijde gelegen en heeft tevens een eigen badkamer voorzien van moderne betegeling, inloopdouche, wastafel en hangcloset. Aan de achterzijde is een zonnige ruime tuin met een fietsenberging.
Bijzonderheden
-Toplocatie
-Luxe keuken
-Luxe badkamer
-Volledig geïsoleerd
-Ruime en zonnige tuin
-Per direct beschikbaar
Binnen kijken?? Maak een afspraak voor een bezichtiging, overdag in de avond of op zaterdag.
Oplevering:
Per direct.
Wij behartigen de belangen van de verhurende partij. Neem uw eigen aan huur makelaar mee!
Nadrukkelijk is vermeld dat deze informatieverstrekking niet als aanbieding of offerte mag worden beschouwd. Deze dient slechts als uitnodiging tot het doen van een bod. Aan deze gegevens kunnen geen rechten worden ontleend.
Toelichtingsclausule NEN2580
De Meetinstructie is gebaseerd op de NEN2580. De Meetinstructie is bedoeld om een meer eenduidige manier van meten toe te passen voor het geven van een indicatie van de gebruiksoppervlakte. De Meetinstructie sluit verschillen in meetuitkomsten niet volledig uit, door bijvoorbeeld interpretatieverschillen, afrondingen of beperkingen bij het uitvoeren van de meting.","€ 100,-",-,1906-1930,Openbaar parkeren,-,Berkhout Biemans & Boer Makelaars,-,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas en HR-glas",60 m²,-,-,-,-,60 m² (10.0m diep / 6.0m breed),Ja,Verzorgd,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,"IJsselkade 36 1-4, 8261 AC Kampen",In verhuur genomen,"€ 400,- p.m.","€ 400,-","€ 40,-",In overleg,72,-,Oudestraat 2,8261 CP  Kampen,038-3556770,info@hanzestaetemakelaardij.nl,10 m²,-,30 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,0,"Aan water, in centrum, vrij uitzicht en aan vaarwater",Geen tuin,Vrijstaand hout,Geen garage,"Dit karakteristieke pand is gelegen aan de IJsselkade op steenworp afstand van zowel de historische binnenstad als het station.
De kamers zijn verdeeld over de eerste en de tweede verdieping. De begane grond wordt in haar geheel verhuurd.
De indeling is als volgt:
Begane grond
Af te sluiten toegang aan de zijkant van het pand waarbij er toegang verkregen kan worden tot de achterplaats.
Hier is de mogelijkheid om uw fiets te plaatsen.
Via de achterzijde van het pand is er toegang te verkrijgen tot de eerste verdieping en tot de tweede verdieping.
Eerste verdieping
Algemene toegang tot de verdieping.
In de algemene ruimte bevinden zich een keuken, toilet, badkamer en wasruimte.
Deze voorzieningen worden gedeeld met de andere bewoners van deze verdieping.
In de wasruimte is een wasmachine aanwezig voor algemeen gebruik.
Verder bevinden er zich 5 kamers op deze verdieping.
De kamers zijn allemaal voorzien van een eigen wastafel.
Er is een mogelijkheid om via de eerste verdieping toegang te krijgen tot de tweede verdieping.
Dit kan echter ook rechtstreeks vanaf de buitenzijde.
Tweede verdieping
Algemene toegang tot de verdieping.
In de algemene ruimte bevinden zich een keuken, toilet, badkamer en wasruimte.
Deze voorzieningen worden gedeeld met de andere bewoners van deze verdieping.
In de wasruimte is een wasmachine aanwezig voor algemeen gebruik.
Verder bevinden er zich 4 kamers op deze verdieping.
De kamers zijn allemaal voorzien van een eigen wastafel.",-,Hanze Staete Makelaardij,-1906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,"IJsselkade 36 2-9, 8261 AC Kampen",In verhuur genomen,"€ 400,- p.m.","€ 400,-","€ 44,44",In overleg,72,-,Oudestraat 2,8261 CP  Kampen,038-3556770,info@hanzestaetemakelaardij.nl,9 m²,-,27 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,0,"Aan water, in centrum, vrij uitzicht en aan vaarwater",Geen tuin,Vrijstaand hout,Geen garage,"Dit karakteristieke pand is gelegen aan de IJsselkade op steenworp afstand van zowel de historische binnenstad als het station.
De kamers zijn verdeeld over de eerste en de tweede verdieping. De begane grond wordt in haar geheel verhuurd.
De indeling is als volgt:
Begane grond
Af te sluiten toegang aan de zijkant van het pand waarbij er toegang verkregen kan worden tot de achterplaats.
Hier is de mogelijkheid om uw fiets te plaatsen.
Via de achterzijde van het pand is er toegang te verkrijgen tot de eerste verdieping en tot de tweede verdieping.
Eerste verdieping
Algemene toegang tot de verdieping.
In de algemene ruimte bevinden zich een keuken, toilet, badkamer en wasruimte.
Deze voorzieningen worden gedeeld met de andere bewoners van deze verdieping.
In de wasruimte is een wasmachine aanwezig voor algemeen gebruik.
Verder bevinden er zich 5 kamers op deze verdieping.
De kamers zijn allemaal voorzien van een eigen wastafel.
Er is een mogelijkheid om via de eerste verdieping toegang te krijgen tot de tweede verdieping.
Dit kan echter ook rechtstreeks vanaf de buitenzijde.
Tweede verdieping
Algemene toegang tot de verdieping.
In de algemene ruimte bevinden zich een keuken, toilet, badkamer en wasruimte.
Deze voorzieningen worden gedeeld met de andere bewoners van deze verdieping.
In de wasruimte is een wasmachine aanwezig voor algemeen gebruik.
Verder bevinden er zich 4 kamers op deze verdieping.
De kamers zijn allemaal voorzien van een eigen wastafel.",-,Hanze Staete Makelaardij,-1906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,"Johan Frisolaan 33, 2171 ZA Sassenheim",In verhuur genomen,"€ 400,- p.m.","€ 400,-","€ 11,43",Per datum 01-05-2020,7,-,Abraham van Royenstraat 104,2202 EP  Noordwijk,071-3646586,noordwijk@tweelwonen.nl,35 m²,-,90 m³,2 kamers (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Bovenwoning,bestaande bouw,1985,"Aan water, aan rustige weg en in woonwijk",Geen tuin,-,Geen garage,"Inwonend bij eigenaresse 2 kamer zolderverdieping op loopafstand van de centrum van Sassenheim  
Dit 2 kamer zolderappartement is gelegen aan de Johan Frisolaan te Sassenheim en heeft een oppervlakte van ca. 35m². Deze gemeubileerde woning beschikt over een woonkamer, dichte keuken, slaapkamer en een badkamer. De woonkamer is voorzien van een linoleumvloer. De dichte keuken is voorzien van diverse apparatuur, waaronder een 2-pits elektrische kookplaat, koelkast, wasmachine en droger. 
De slaapkamer is voorzien van een eenpersoons bed en in de badkamer treft u een aparte douche, ligbad, toilet en een wastafel. 
De badkamer wordt gedeeld met de eigenaresse van het pand.  
Indeling: 1e verdieping: Badkamer ca. 7m².  2e verdieping: Keuken ca. 10m² voorzien van diverse apparatuur. 
Woonkamer ca. 9m² voorzien van een linoleumvloer. Slaapkamer ca. 8m².   
Bijzonderheden:  
- Totale woonoppervlakte ca. 35m² 
- Nabij diverse winkels 
- Inwonend bij verhuurder 
- Bijkomende kosten: € 110,- per maand voor gas, water, elektra, tv en internet
- Huurtermijn: Bepaalde tijd (6 maanden), verlenging mogelijk na overleg met verhuurder.
- Deze woning wordt deels gemeubileerd opgeleverd 
- Te huur voor maximaal 1 werkend persoon 
- Huisdieren en roken zijn niet toegestaan 
- Borg 1 maand huur",-,Tweelwonen Noordwijk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
